C/C(=N\S(=O)(=O)c1ccccc1)/N[C@@H](CC2(CCCC2)C)C(=O)NC3(CCS(=O)(=O)CC3)CN,C71,2frq
c1cc(ccc1[C@@H](C(F)(F)F)N[C@@H](CS(=O)(=O)C[C@@H]2CCC(=O)N2)C(=O)NC3(CC3)C#N)F,CRJ,2fq9
C[Si](C)(C)C[C@@H](C(=O)NC1(CCS(=O)(=O)CC1)C#N)NC(=O)N2CCOCC2,CRL,2fud
c1ccc(cc1)CS(=O)(=O)C[C@@H](C(=O)NC2(CC2)CN)N[C@@H](c3ccc(cc3)O)C(F)(F)F,CRV,2fra
[H]/N=C/c1c2c(cc(n1)c3ccc(c(c3)C(F)(F)F)OCCCN4CCN(CC4)C)n(cn2)C,EF3,3n4c
COc1ccc(cc1)NCCNC(=O)[C@H](CC2CCCCC2)Nc3nc4ccccc4o3,GNF,2f1g
C[C@@H](CNc1ccc(cc1)OC(F)(F)F)NC(=O)[C@H](CS(=O)(=O)Cc2ccccc2)NC(=O)N3CCOCC3,GNQ,2hh5
C\C=C\CC(C(=O)C)n1cc(nn1)[C@](C)(C(C)C)NC(=O)c2ccccc2,H7J,2h7j
c1ccc(c(c1)CS(=O)(=O)C[C@@H](C(=O)NCC#N)OC(=O)N2CCOCC2)OC(F)F,MO9,2g7y
c1ccc(cc1)CC[C@@H](CCS(=O)(=O)c2ccccc2)NC(=O)[C@H](CCS(=O)(=O)c3ccccc3)NC(=O)N4CCOCC4,MQQ,2g6d
CN1c2ccc(cc2N(C1=O)C3CCN(CC3)CCCN4C=NC=C(C4=O)c5ccc(c(c5)CNC(=O)c6ccc(cc6)F)Cl)Cl,N2A,5qby
CN1c2ccc(cc2N(C1=O)C3CCN(CC3)CCCN4C(=O)C=CC(=N4)c5ccc(c(c5)CNC(=O)c6ccccc6)Cl)Cl,N2D,5qbv
CC[C@@H](C=O)NC(=O)c1cccc(c1Cl)C(F)(F)F,O64,5qc1
c1ccc(c(c1)c2ccc(c(c2F)F)F)OCCO,TF5,2op3
CN1CCC(CC1)(C#N)NC(=O)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3,Y11,2r9m
c1ccc(cc1)C[N@]2CC[C@](C2)(C#N)NC(=O)[C@H](CC3CCCCC3)NC(=O)N4CCOCC4,Y14,2r9n
C[C@](COCc1ccccc1)(C#N)NC(=O)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3,Y15,2r9o
CNC(=O)CCS(=O)(=O)N1CCN(CC1)c2ccc3nncn3n2,Q1E,6yyn
CS(=O)(=O)N1CCN(CC1)c2ccc3nncn3n2,Q1K,6yyo
c1cc(oc1)Cn2c3ccc(cc3nc2N)C(F)(F)F,Q1H,6yyp
c1ccc(cc1)c2ncc3c(n2)CCC(C3)N,Q1Q,6yyq
Cc1cc(on1)CC(=O)NC(CS(=O)(=O)N2CCN(CC2)c3ccccn3)C(=O)NCC=N,Q1N,6yyr
